reg_id	sdate	stime
135874	2022-04-20	19:45
135880	2022-04-20	23:30
157261	2022-04-21	08:00
135629	2022-04-21	21:30
135399	2022-04-22	00:48
135632	2022-04-22	07:30
135402	2022-04-22	11:00
135636	2022-04-22	22:20
135604	2022-04-23	05:55
135404	2022-04-23	13:30
135616	2022-04-24	00:48
135657	2022-04-24	08:30
135662	2022-04-24	15:06
135638	2022-04-25	02:10
135403	2022-04-25	05:35
135642	2022-04-25	10:05
135913	2022-04-25	22:40
157261	2022-04-26	04:25
135583	2022-04-26	09:45
157752	2022-04-26	10:40
135403	2022-05-19	06:45
135638	2022-05-19	10:00
135662	2022-05-19	19:40
135657	2022-05-20	00:05
135616	2022-05-20	07:10
135404	2022-05-20	14:00
135604	2022-05-20	18:40
135402	2022-05-21	11:15
135632	2022-05-21	15:00
135399	2022-05-21	21:15
135629	2022-05-22	01:30
135913	2022-05-22	08:20
157261	2022-05-22	14:10
135583	2022-05-22	17:00
157752	2022-05-22	20:00
135880	2022-05-23	01:00
135874	2022-05-23	04:20
135875	2022-05-23	05:30
135876	2022-05-23	06:50
135877	2022-05-23	08:20
135873	2022-05-23	11:45
135298	2022-05-23	13:50
157261	2022-05-24	03:40
135642	2022-05-24	21:30
135420	2022-06-13	22:20
135662	2022-06-14	14:30
135657	2022-06-14	20:35
135616	2022-06-15	03:35
135404	2022-06-15	09:15
135604	2022-06-15	14:50
135636	2022-06-15	23:35
135402	2022-06-16	10:50
135632	2022-06-16	14:45
135642	2022-06-16	17:40
135399	2022-06-16	23:10
135629	2022-06-17	03:05
135913	2022-06-17	10:00
157261	2022-06-17	16:15
135583	2022-06-17	19:10
157752	2022-06-17	22:15
135880	2022-06-18	03:10
135877	2022-06-18	07:02
135875	2022-06-18	10:50
135873	2022-06-18	12:10
135298	2022-06-18	12:10
135298	2022-07-12	06:30
135873	2022-07-12	11:15
135874	2022-07-12	12:30
135875	2022-07-12	13:40
135876	2022-07-12	15:15
135877	2022-07-12	16:50
135880	2022-07-12	21:20
157752	2022-07-13	02:20
135583	2022-07-13	05:05
157261	2022-07-13	07:50
135913	2022-07-13	14:20
135629	2022-07-13	22:15
135399	2022-07-14	01:30
135632	2022-07-14	07:10
135402	2022-07-14	10:30
135636	2022-07-14	23:10
135604	2022-07-15	07:10
135404	2022-07-15	12:30
135616	2022-07-15	22:30
135657	2022-07-16	05:00
135662	2022-07-16	11:30
135638	2022-07-16	19:20
135403	2022-07-16	22:00
135642	2022-07-17	05:15
157261	2022-07-17	22:15
135298	2022-08-12	12:45
135873	2022-08-12	15:20
135874	2022-08-12	17:00
135875	2022-08-12	18:20
135876	2022-08-12	20:05
135877	2022-08-12	21:30
135880	2022-08-13	03:00
157752	2022-08-13	08:00
135583	2022-08-13	11:15
157261	2022-08-13	13:50
135913	2022-08-13	20:15
135629	2022-08-14	04:15
135399	2022-08-14	07:55
135632	2022-08-14	14:00
135402	2022-08-14	17:30
135636	2022-08-15	03:30
135604	2022-08-15	11:20
135404	2022-08-15	16:45
135616	2022-08-15	22:30
135657	2022-08-16	06:30
135662	2022-08-16	14:30
135638	2022-08-16	22:25
135403	2022-08-17	01:40
135642	2022-08-17	08:40
157261	2022-08-18	02:40
135298	2022-09-16	10:50
135873	2022-09-16	14:00
135874	2022-09-16	15:15
135875	2022-09-16	16:20
135876	2022-09-16	17:40
135877	2022-09-16	19:10
135880	2022-09-17	00:05
157752	2022-09-17	05:32
135583	2022-09-17	08:40
157261	2022-09-17	11:20
135913	2022-09-17	18:32
135629	2022-09-18	02:10
135399	2022-09-18	06:06
135632	2022-09-18	13:00
135402	2022-09-18	17:00
135636	2022-09-19	02:05
135604	2022-09-19	11:00
135404	2022-09-19	16:00
135616	2022-09-19	23:15
338458	2022-09-20	11:10
135657	2022-09-20	17:45
135662	2022-09-20	23:59
135638	2022-09-21	07:45
135403	2022-09-21	10:34
135298	2022-01-11	08:25
135298	2022-02-01	07:00
135298	2022-03-01	07:40
135298	2022-04-05	06:45
135298	2022-05-03	06:25
135298	2022-06-07	06:10
135298	2022-07-04	05:50
135298	2022-08-03	06:50
